Particulars,For 24-Jan-2018,For 25-Jan-2018,For 26-Jan-2018,For 27-Jan-2018,For 28-Jan-2018,For 29-Jan-2018
,Outwards Quantity,Outwards Quantity,Outwards Quantity,Outwards Quantity,Outwards Quantity,Outwards Quantity
Combo,26,33,,541,170,27
Adults (Combo),21,16,,235,134,13
Adults Group (Combo),,,,,,
Children (Combo),3,2,,291,19,4
College Students (Combo),2,13,,9,5,6
Ex-Defence and Govt. Officers (Combo),,,,3,9,4
Foregin Adults (Combo),,,,,,
Sr. Citizens (Combo),,2,,3,3,
Students (Combo),,,,,,
Documentary,6,19,,36,19,6
Adults (Documentary),,13,,7,8,2
Adults Group (Documentary),,,,,,
Children (Documentary),,,,,,
College Students (Documentary),,,,,,
Ex Def. & Govt. Officer (Documentary),,,,,,
Foreign Adults (Documentary),6,6,,27,11,4
Sr. Citizens (Documentary),,,,,,
Students (Documentary),,,,2,,
Museum ,1705,1760,,3794,3500,1512
Adults ,545,467,,1504,1269,483
Adults Group,502,521,,1197,1140,389
Children ,87,284,,532,509,276
College Students ,343,58,,121,164,154
Ex-Defence and Govt. Officers,4,14,,35,70,17
Foreign Adults,110,196,,328,303,168
Friends & Relatives,,,,,,
Sr. Citizens,26,22,,77,45,25
Students,88,198,,,,
Economy,,,,,1,
PR Gallery Guide Tickets,,,,,,
Special Photo Pass,,,,,,
Special Viewing ,,,,,,25
Grand Total,1737,1812,,4371,3690,1570
