date,value
01-Jan,3829
02-Jan,1806
03-Jan,1274
04-Jan,1442
05-Jan,1921
06-Jan,2621
07-Jan,3399
08-Jan,1330
09-Jan,1255
10-Jan,1425
11-Jan,1952
12-Jan,1910
13-Jan,3131
14-Jan,2849
15-Jan,2143
16-Jan,1474
17-Jan,1823
18-Jan,1746
19-Jan,2848
20-Jan,2872
21-Jan,2842
22-Jan,1391
23-Jan,1267
24-Jan,1737
25-Jan,1812
26-Jan,0
27-Jan,4371
28-Jan,3690
29-Jan,1570
30-Jan,1262
31-Jan,1518
