PARTICULARS,For 12-Jan 2018,For 13-Jan 2018,For 14-Jan 2018,For 15-Jan 2018,For 16-Jan 2018,For 17-Jan 2018
,Outwards Quantity,Outwards Quantity,Outwards Quantity,Outwards Quantity,Outwards Quantity,Outwards Quantity
Combo,,,,20,14,29
Adults,,,,11,12,24
Adults Group,,,,,,
Children,,,,3,,
College Students,,,,4,,4
Ex-Defence and Govt. Officers,,,,,,1
Foreign Adults,,,,,,
Sr. Citizens,,,,2,2,
Students,,,,,,
Documentary,,,,157,5,5
Adults,,,,6,,3
Adults Group,,,,,,
Children,,,,137,,1
College Students,,,,,,
Ex-Defence and Govt. Officers,,,,,,
Foreign Adults,,,,14,4,1
Sr. Citizens,,,,,1,
Students,,,,,,
Museum,1910,3131,2848,1966,1455,1789
Adults,577,1125,1401,507,567,446
Adults Group,453,838,835,652,503,535
Children,311,545,249,380,1,432
College Students,177,214,152,55,188,161
Ex-Defence and Govt. Officers,7,24,32,2,12,9
Foreign Adults,91,215,150,350,160,100
Friends & Relatives,,,,,,
Sr. Citizens,19,54,29,20,24,22
Students,275,116,,,,84
Economy,,,1,,,
PR Gallery Guide Tickets,,,,,,
Special Photo Pass,,,,,,
Special Viewing,,,,,,
GRAND TOTAL,1910,3131,2849,2143,1474,1823
